,player_type,player,result
0,player q learn attempt,0,win via score
1,"smart 2: 4, 0.7",2,win via score
2,player q learn attempt,0,win via score
3,"smart 2: 4, 0.7",2,win via score
4,"smart 2: 0, 0.5",1,win via score
5,"smart 2: 0, 0.5",1,win via score
6,player q learn attempt,0,win via score
7,"smart 2: 4, 0.7",2,win via score
8,"smart 2: 1, 0.6",3,win via score
9,player q learn attempt,0,win via score
10,player q learn attempt,0,win via score
11,"smart 2: 4, 0.7",2,win via score
12,player q learn attempt,0,win via score
13,"smart 2: 4, 0.7",2,win via score
14,"smart 2: 0, 0.5",1,win via score
15,player q learn attempt,0,win via score
16,"smart 2: 0, 0.5",1,win via score
17,"smart 2: 4, 0.7",2,win via score
18,player q learn attempt,0,win via score
19,"smart 2: 1, 0.6",3,win via score
20,"smart 2: 0, 0.5",1,win via score
21,"smart 2: 1, 0.6",3,win via score
22,player q learn attempt,0,win via score
23,"smart 2: 1, 0.6",3,win via score
24,"smart 2: 0, 0.5",1,win via score
25,"smart 2: 0, 0.5",1,win via score
26,"smart 2: 0, 0.5",1,win via score
27,"smart 2: 4, 0.7",2,win via score
28,player q learn attempt,0,win via score
29,player q learn attempt,0,win via score
30,player q learn attempt,0,win via score
31,"smart 2: 4, 0.7",2,win via score
32,player q learn attempt,0,win via score
33,"smart 2: 1, 0.6",3,win via score
34,player q learn attempt,0,win via score
35,"smart 2: 1, 0.6",3,win via score
36,"smart 2: 0, 0.5",1,win via score
37,"smart 2: 1, 0.6",3,win via score
38,player q learn attempt,0,win via score
39,player q learn attempt,0,win via score
40,"smart 2: 4, 0.7",2,win via score
41,"smart 2: 0, 0.5",1,win via score
42,"smart 2: 4, 0.7",2,win via score
43,"smart 2: 1, 0.6",3,win via score
44,"smart 2: 1, 0.6",3,win via elim
45,"smart 2: 0, 0.5",1,win via score
46,"smart 2: 1, 0.6",3,win via score
47,"smart 2: 1, 0.6",3,win via score
48,"smart 2: 4, 0.7",2,win via elim
49,"smart 2: 4, 0.7",2,win via score
50,player q learn attempt,0,win via score
51,"smart 2: 0, 0.5",1,win via score
52,player q learn attempt,0,win via score
53,player q learn attempt,0,win via score
54,"smart 2: 0, 0.5",1,win via score
55,player q learn attempt,0,win via score
56,"smart 2: 1, 0.6",3,win via score
57,"smart 2: 4, 0.7",2,win via elim
58,player q learn attempt,0,win via score
59,player q learn attempt,0,win via score
60,player q learn attempt,0,win via score
61,"smart 2: 0, 0.5",1,win via score
62,"smart 2: 1, 0.6",3,win via score
63,player q learn attempt,0,win via score
64,player q learn attempt,0,win via score
65,"smart 2: 0, 0.5",1,win via score
66,"smart 2: 4, 0.7",2,win via score
67,"smart 2: 0, 0.5",1,win via score
68,"smart 2: 1, 0.6",3,win via score
69,player q learn attempt,0,win via score
70,player q learn attempt,0,win via score
71,player q learn attempt,0,win via score
72,player q learn attempt,0,win via score
73,player q learn attempt,0,win via score
74,"smart 2: 0, 0.5",1,win via score
75,"smart 2: 1, 0.6",3,win via score
76,"smart 2: 4, 0.7",2,win via score
77,player q learn attempt,0,win via score
78,"smart 2: 0, 0.5",1,win via score
79,"smart 2: 1, 0.6",3,win via score
80,"smart 2: 4, 0.7",2,win via score
81,"smart 2: 0, 0.5",1,win via score
82,"smart 2: 0, 0.5",1,win via score
83,player q learn attempt,0,win via score
84,"smart 2: 0, 0.5",1,win via score
85,player q learn attempt,0,win via score
86,"smart 2: 1, 0.6",3,win via score
87,player q learn attempt,0,win via score
88,"smart 2: 1, 0.6",3,win via score
89,"smart 2: 1, 0.6",3,win via score
90,"smart 2: 0, 0.5",1,win via score
91,"smart 2: 4, 0.7",2,win via score
92,player q learn attempt,0,win via score
93,"smart 2: 4, 0.7",2,win via score
94,"smart 2: 1, 0.6",3,win via score
95,"smart 2: 4, 0.7",2,win via score
96,"smart 2: 1, 0.6",3,win via score
97,player q learn attempt,0,win via score
98,"smart 2: 1, 0.6",3,win via score
99,"smart 2: 1, 0.6",3,win via score
